word,transcription,index,long
accompagnant,a.k.ɔ̃.p.a.ɲ.ɑ̃,5,0
accompagne,a.k.ɔ̃.p.a.ɲ,1,0
accompagne,a.k.ɔ̃.p.a.ɲ,5,0
accompagne,z.a.k.ɔ̃.p.a.ɲ,2,0
accompagne,z.a.k.ɔ̃.p.a.ɲ,6,0
accompagnement,a.k.ɔ̃.p.a.ɲ.m.ɑ̃,1,0
accompagnement,a.k.ɔ̃.p.a.ɲ.m.ɑ̃,5,0
accompagnent,a.k.ɔ̃.p.a.ɲ,1,0
accompagnent,a.k.ɔ̃.p.a.ɲ,5,0
accompagner,a.k.ɔ̃.p.a.ɲ.e,1,0
accompagner,a.k.ɔ̃.p.a.ɲ.e,5,0
accompagnerons,a.k.ɔ̃.p.a.ɲ.ə.ʁ.ɔ̃,1,0
accompagnerons,a.k.ɔ̃.p.a.ɲ.ə.ʁ.ɔ̃,5,0
accompagnons,z.a.k.ɔ̃.p.a.ɲ.ɔ̃,2,0
accompagnons,z.a.k.ɔ̃.p.a.ɲ.ɔ̃,6,0
accompagné,a.k.ɔ̃.p.a.ɲ.e,1,0
accompagné,a.k.ɔ̃.p.a.ɲ.e,5,0
accompagnée,a.k.ɔ̃.p.a.ɲ.e,1,0
accompagnée,a.k.ɔ̃.p.a.ɲ.e,5,0
accompagnées,a.k.ɔ̃.p.a.ɲ.e,1,0
accompagnées,a.k.ɔ̃.p.a.ɲ.e,5,0
accompagnés,a.k.ɔ̃.p.a.ɲ.e,1,0
accompagnés,a.k.ɔ̃.p.a.ɲ.e,5,0
accompli,a.k.ɔ̃.p.ʎ.i,1,0
accompli,a.k.ɔ̃.p.l.i,1,0
accomplie,a.k.ɔ̃.p.ʎ.i,1,0
accomplir,a.k.ɔ̃.p.ʎ.i.ʁ,1,0
accomplir,a.k.ɔ̃.p.l.i.ʁ,1,0
accomplis,a.k.ɔ̃.p.ʎ.i,1,0
accomplis,a.k.ɔ̃.p.l.i,1,0
accord,a.k.ɔ.ʁ,1,1
accordant,n.a.k.ɔ.ʁ.d.ɑ̃,2,0
accorde,a.k.ɔ.ʁ.d,1,0
accorde,n.a.k.ɔ.ʁ.d,2,0
accorder,a.k.ɔ.ʁ.d.e,1,0
accordons,a.k.ɔ.ʁ.d.ɔ̃,1,0
accordé,a.k.ɔ.ʁ.d.e,1,0
accordée,a.k.ɔ.ʁ.d.e,1,0
accordées,a.k.ɔ.ʁ.d.e,1,0
accordés,a.k.ɔ.ʁ.d.e,1,0
accroché,a.k.ʁ.ɔ.ʃ.e,1,0
accroître,a.k.ʁ.w.a.t.ʁ,1,0
