municipalité,région,lieu,lat,long
Lavaltrie,Lanaudière,Québec,45.883078,-73.282242
Le Gardeur,Lanaudière,Québec,45.7510604,-73.4702203
Mascouche,Lanaudière,Québec,45.7453521,-73.6005591
Repentigny,Lanaudière,Québec,45.7326055,-73.4528307
Saint-Côme,Lanaudière,Québec,46.271037,-73.771477
Saint-Cuthbert,Lanaudière,Québec,46.1502171,-73.2216781
Saint-Jacques,Lanaudière,Québec,45.9478798,-73.5696171
Saint-Jean-de-Matha,Lanaudière,Québec,46.230203,-73.534927
Terrebonne,Lanaudière,Québec,45.6951527,-73.6350148
Brownsburg,Laurentides,Québec,45.676516,-74.4046061
Deux-Montagnes,Laurentides,Québec,45.5372581,-73.9043321
Lachute,Laurentides,Québec,45.6560478,-74.3401388
Mont-Laurier,Laurentides,Québec,46.5524071,-75.4968899
Saint-Eustache,Laurentides,Québec,45.5646052,-73.8929714
Saint-Jérôme,Laurentides,Québec,45.7780402,-74.0033272
Saint-Jovite,Laurentides,Québec,46.11588,-74.5891426
Sainte-Agathe-des-Monts,Laurentides,Québec,46.046072,-74.279938
Sainte-Scholastique,Laurentides,Québec,45.652928,-74.093513
Sainte-Thérèse,Laurentides,Québec,45.6342923,-73.8362379
Wentworth-Nord,Laurentides,Québec,45.8338025,-74.4703425
Laval,Laval,Québec,45.5571125,-73.7211779
Laval-des-Rapides,Laval,Québec,45.5564172,-73.7005593
Charette,Mauricie,Québec,46.440696,-72.924156
Grand-Mère,Mauricie,Québec,46.612894,-72.69516
La Tuque,Mauricie,Québec,47.441092,-72.78511
Shawinigan,Mauricie,Québec,46.5396581,-72.7518637
Shawinigan-Sud,Mauricie,Québec,46.5184139,-72.7480689
Saint-Paulin,Mauricie,Québec,46.417742,-73.013763
Saint-Tite,Mauricie,Québec,46.7285322,-72.5646675
Sainte-Angèle-de-Prémont,Mauricie,Québec,46.363041,-73.057709
Sainte-Anne-de-la-Pérade,Mauricie,Québec,46.5714957,-72.2086114
Sainte-Thècle,Mauricie,Québec,46.8152514,-72.5062351
Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
Boucherville,Montérégie,Québec,45.6050197,-73.4526144
Châteauguay,Montérégie,Québec,45.3602416,-73.749364
Coteau-Station,Montérégie,Québec,45.2785524,-74.229744
Greenfield Park,Montérégie,Québec,45.4926624,-73.4870499
Henryville,Montérégie,Québec,45.137008,-73.191605
Howick,Montérégie,Québec,45.1849035,-73.8490597
Iberville,Montérégie,Québec,45.3039219,-73.2297415
Longueuil,Montérégie,Québec,45.521906,-73.4644578
Mont-Saint-Hilaire,Montérégie,Québec,45.5623512,-73.1918864
Salaberry-de-Valleyfield,Montérégie,Québec,45.2555575,-74.1316718
Sorel,Montérégie,Québec,46.044404,-73.104744
Sorel-Tracy,Montérégie,Québec,46.0435235,-73.1165159
Saint-Constant,Montérégie,Québec,45.3724897,-73.5704589
Saint-Hyacinthe,Montérégie,Québec,45.627484,-72.940636
Saint-Isidore,Montérégie,Québec,45.30049,-73.68084
Saint-Jean-sur-Richelieu,Montérégie,Québec,45.3056879,-73.2533401
Saint-Michel,Montérégie,Québec,45.2381816,-73.5699087
Saint-Rémi,Montérégie,Québec,45.2591064,-73.6188315
Saint-Sébastien,Montérégie,Québec,45.1251126,-73.1469091
Sainte-Anne-de-Sorel,Montérégie,Québec,46.0565588,-73.0638371
Sainte-Clotilde,Montérégie,Québec,45.1571128,-73.6768108
Sainte-Julie,Montérégie,Québec,45.5930624,-73.3395943
Sainte-Marthe,Montérégie,Québec,45.4058059,-74.2970407
Valleyfield,Montérégie,Québec,45.2555575,-74.1316718
Verchères,Montérégie,Québec,45.7727845,-73.355442
Anjou,Montréal,Québec,45.6048982,-73.5466723
Lachine,Montréal,Québec,45.435114,-73.6837987
LaSalle,Montréal,Québec,45.4325141,-73.6292667
Montréal,Montréal,Québec,45.5031824,-73.5698065
Montréal-Est,Montréal,Québec,45.6309797,-73.4977437
Saint-Laurent,Montréal,Québec,45.5088774,-73.6875187
Sainte-Anne-de-Bellevue,Montréal,Québec,45.4038563,-73.9523976
Verdun,Montréal,Québec,45.459099,-73.5731712
Val-Paradis,Nord-du-Québec,Québec,49.154766,-79.291077
Aylmer,Outaouais,Québec,45.3950895,-75.8442452
Buckingham,Outaouais,Québec,45.5864671,-75.4168252
Gatineau,Outaouais,Québec,45.4277659,-75.710976
Messines,Outaouais,Québec,46.242077,-76.022301
Notre-Dame-de-la-Paix,Outaouais,Québec,45.8081565,-74.9653748
Otter Lake,Outaouais,Québec,45.8490678,-76.4300477
Quyon,Outaouais,Québec,45.5204631,-76.2302306
Alma,Saguenay–Lac-Saint-Jean,Québec,48.548887,-71.651459
Chicoutimi,Saguenay–Lac-Saint-Jean,Québec,48.4286352,-71.0637121
Chicoutimi-Nord,Saguenay–Lac-Saint-Jean,Québec,48.4382053,-71.0750109
Dolbeau,Saguenay–Lac-Saint-Jean,Québec,48.8770098,-72.2302039
Dolbeau-Mistassini,Saguenay–Lac-Saint-Jean,Québec,48.883231,-72.233734
Jonquière,Saguenay–Lac-Saint-Jean,Québec,48.4342285,-71.2542735965741
Laterrière,Saguenay–Lac-Saint-Jean,Québec,48.3075097,-71.1133582
Normandin,Saguenay–Lac-Saint-Jean,Québec,48.837153,-72.529678
Petit-Saguenay,Saguenay–Lac-Saint-Jean,Québec,48.21232,-70.070114
Roberval,Saguenay–Lac-Saint-Jean,Québec,48.514785,-72.224808
Saint-Coeur-de-Marie,Saguenay–Lac-Saint-Jean,Québec,48.6323011,-71.6963716
Saint-Félicien,Saguenay–Lac-Saint-Jean,Québec,48.654232,-72.448654
Saint-Félix-d'Otis,Saguenay–Lac-Saint-Jean,Québec,48.273597,-70.626297
