législature,prénom,nom,nom_complet,du,au,parti,circonscription
43,Sébastien,Schneeberger,Sébastien Schneeberger,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Drummond–Bois-Francs
43,François,Tremblay,François Tremblay,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Dubuc
43,Kateri,Champagne Jourdain,Kateri Champagne Jourdain,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Duplessis
43,Alice,Abou-Khalil,Alice Abou-Khalil,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Fabre
43,Stéphane,Sainte-Croix,Stéphane Sainte-Croix,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Gaspé
43,Robert,Bussière,Robert Bussière,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Gatineau
43,Gabriel,Nadeau-Dubois,Gabriel Nadeau-Dubois,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Gouin
43,François,Bonnardel,François Bonnardel,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Granby
43,Eric,Girard,Eric Girard,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Groulx
43,Alexandre,Leduc,Alexandre Leduc,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Hochelaga-Maisonneuve
43,Suzanne,Tremblay,Suzanne Tremblay,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Hull
43,Carole,Mallette,Carole Mallette,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Huntingdon
43,Audrey,Bogemans,Audrey Bogemans,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Iberville
43,Joël,Arseneau,Joël Arseneau,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PQ,Îles-de-la-Madeleine
43,Gregory,Kelley,Gregory Kelley,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Jacques-Cartier
43,Sol,Zanetti,Sol Zanetti,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Jean-Lesage
43,Joëlle,Boutin,Joëlle Boutin,2022-10-03T00:00:00Z,2023-07-31T00:00:00Z,CAQ,Jean-Talon
43,Pascal,Paradis,Pascal Paradis,2023-10-02T00:00:00Z,2026-10-04T00:00:00Z,PQ,Jean-Talon
43,Filomena,Rotiroti,Filomena Rotiroti,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Jeanne-Mance–Viger
43,André,Lamontagne,André Lamontagne,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Johnson
43,François,St-Louis,François St-Louis,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Joliette
43,Yannick,Gagnon,Yannick Gagnon,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Jonquière
43,François,Legault,François Legault,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,L'Assomption
43,Éric,Caire,Éric Caire,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,La Peltrie
43,Linda,Caron,Linda Caron,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,La Pinière
43,Christian,Dubé,Christian Dubé,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,La Prairie
43,Chantale,Jeannotte,Chantale Jeannotte,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Labelle
43,Éric,Girard,Éric Girard,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Lac-Saint-Jean
43,Marc,Tanguay,Marc Tanguay,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,LaFontaine
43,Isabelle,Poulet,Isabelle Poulet,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Laporte
