prénom,nom,nom_complet,genre,année_naissance,municipalité,région,lieu
Raymond,Bachand,Raymond Bachand,m,1947,Montréal,Montréal,Québec
Diane,Barbeau,Diane Barbeau,f,1961,Baie-Comeau,Côte-Nord,Québec
Gilles,Baril,Gilles Baril,m,1957,Saint-Eugène-de-Guigues,Abitibi-Témiscamingue,Québec
Jacques,Baril,Jacques Baril,m,1942,Princeville,Centre-du-Québec,Québec
Gaétan,Barrette,Gaétan Barrette,m,1956,La Tuque,Mauricie,Québec
Line,Beauchamp,Line Beauchamp,f,1963,Salaberry-de-Valleyfield,Montérégie,Québec
Frédéric,Beauchemin,Frédéric Beauchemin,m,,,,
Denise,Beaudoin,Denise Beaudoin,f,1949,Lachute,Laurentides,Québec
Louise,Beaudoin,Louise Beaudoin,f,1945,Québec,Capitale-Nationale,Québec
François,Beaulne,François Beaulne,m,1946,Ottawa,,Ontario
Yves,Beaumier,Yves Beaumier,m,1942,Trois-Rivières,Mauricie,Québec
Pascal,Beaupré,Pascal Beaupré,m,1983,Joliette,Lanaudière,Québec
Claude,Béchard,Claude Béchard,m,1969,Saint-Philippe-de-Néri,Bas-Saint-Laurent,Québec
Stéphane,Bédard,Stéphane Bédard,m,1968,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Paul,Bégin,Paul Bégin,m,1943,Dolbeau,Saguenay–Lac-Saint-Jean,Québec
Gilles,Bélanger,Gilles Bélanger,m,1958,Saint-Laurent,Montréal,Québec
Madeleine,Bélanger,Madeleine Bélanger,f,1932,Saint-Sébastien,Estrie,Québec
Sonia,Bélanger,Sonia Bélanger,f,1961,Rimouski,Bas-Saint-Laurent,Québec
Marc,Bellemare,Marc Bellemare,m,1956,Saint-Hyacinthe,Montérégie,Québec
François,Benjamin,François Benjamin,m,1962,Montréal,Montréal,Québec
Frantz,Benjamin,Frantz Benjamin,m,1968,,,Haïti
Hubert,Benoit,Hubert Benoit,m,1963,Québec,Capitale-Nationale,Québec
Robert,Benoît,Robert Benoît,m,1944,Saint-Hyacinthe,Montérégie,Québec
Jean-Paul,Bergeron,Jean-Paul Bergeron,m,1947,Iberville,Montérégie,Québec
Stéphane,Bergeron,Stéphane Bergeron,m,1965,Montréal,Montréal,Québec
Lawrence,Bergman,Lawrence Bergman,m,1940,Montréal,Montréal,Québec
Daniel,Bernard,Daniel Bernard,m,1959,Disraeli,Chaudière-Appalaches,Québec
Raymond,Bernier,Raymond Bernier,m,1952,Québec,Capitale-Nationale,Québec
Roger,Bertrand,Roger Bertrand,m,1947,Donnacona,Capitale-Nationale,Québec
Rosaire,Bertrand,Rosaire Bertrand,f,1936,Saint-Fabien-de-Panet,Chaudière-Appalaches,Québec
Pascal,Bérubé,Pascal Bérubé,m,1975,Matane,Bas-Saint-Laurent,Québec
Stéphane,Billette,Stéphane Billette,m,1971,Howick,Montérégie,Québec
David,Birnbaum,David Birnbaum,m,1956,Montréal,Montréal,Québec
Martine,Biron,Martine Biron,f,1962,Montréal,Montréal,Québec
Michel,Bissonnet,Michel Bissonnet,m,1942,Montréal,Montréal,Québec
Karl,Blackburn,Karl Blackburn,m,1967,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
François,Blais,François Blais,m,1961,Saint-Patrice-de-Beaurivage,Chaudière-Appalaches,Québec
Marguerite,Blais,Marguerite Blais,f,1950,Montréal,Montréal,Québec
Suzanne,Blais,Suzanne Blais,f,,Taschereau,Abitibi-Témiscamingue,Québec
Manon,Blanchet,Manon Blanchet,f,1968,Montréal,Montréal,Québec
Yves-François,Blanchet,Yves-François Blanchet,m,1965,Drummondville,Centre-du-Québec,Québec
Luc,Blanchette,Luc Blanchette,m,1960,Trois-Rivières,Mauricie,Québec
Maïté,Blanchette Vézina,Maïté Blanchette Vézina,f,1985,Montmagny,Chaudière-Appalaches,Québec
Catherine,Blouin,Catherine Blouin,f,1986,Saint-Jérôme,Laurentides,Québec
Audrey,Bogemans,Audrey Bogemans,f,1989,Saint-Sébastien,Montérégie,Québec
André,Boisclair,André Boisclair,m,1966,Montréal,Montréal,Québec
Alex,Boissonneault,Alex Boissonneault,m,1979,Saint-Ferdinand,Centre-du-Québec,Québec
Karine,Boivin Roy,Karine Boivin Roy,f,1971,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Ghislain,Bolduc,Ghislain Bolduc,m,1952,Sherbrooke,Estrie,Québec
Yves,Bolduc,Yves Bolduc,m,1957,Alma,Saguenay–Lac-Saint-Jean,Québec
François,Bonnardel,François Bonnardel,m,1968,Verdun,Montréal,Québec
Yvan,Bordeleau,Yvan Bordeleau,m,1942,La Sarre,Abitibi-Témiscamingue,Québec
Haroun,Bouazzi,Haroun Bouazzi,m,1979,,,Tunisie
Camil,Bouchard,Camil Bouchard,m,1945,La Tuque,Mauricie,Québec
Daniel,Bouchard,Daniel Bouchard,m,1968,Québec,Capitale-Nationale,Québec
Lucien,Bouchard,Lucien Bouchard,m,1938,Saint-Coeur-de-Marie,Saguenay–Lac-Saint-Jean,Québec
Claude,Boucher,Claude Boucher,m,1942,Bromptonville,Estrie,Québec
Etienne-Alexis,Boucher,Etienne-Alexis Boucher,m,1978,Sherbrooke,Estrie,Québec
Jean,Boucher,Jean Boucher,m,1962,Trois-Rivières,Mauricie,Québec
Marie,Bouillé,Marie Bouillé,f,1958,Montréal,Montréal,Québec
André,Boulerice,André Boulerice,m,1946,Joliette,Lanaudière,Québec
Jean,Boulet,Jean Boulet,m,,Saint-Tite,Mauricie,Québec
Julie,Boulet,Julie Boulet,f,1959,Saint-Tite,Mauricie,Québec
Marc,Boulianne,Marc Boulianne,m,1941,Tadoussac,Côte-Nord,Québec
Kariane,Bourassa,Kariane Bourassa,f,1991,Drummondville,Centre-du-Québec,Québec
André,Bourbeau,André Bourbeau,m,1936,Verdun,Montréal,Québec
Marc,Bourcier,Marc Bourcier,m,1957,Saint-Jérôme,Laurentides,Québec
Alexandre,Bourdeau,Alexandre Bourdeau,m,1978,Le Gardeur,Lanaudière,Québec
Guy,Bourgeois,Guy Bourgeois,m,1958,Amos,Abitibi-Témiscamingue,Québec
Joëlle,Boutin,Joëlle Boutin,f,1979,Dolbeau,Saguenay–Lac-Saint-Jean,Québec
Jacques,Brassard,Jacques Brassard,m,1940,Alma,Saguenay–Lac-Saint-Jean,Québec
Daniel,Breton,Daniel Breton,m,1962,Montréal,Montréal,Québec
Bernard,Brodeur,Bernard Brodeur,m,1956,Granby,Estrie,Québec
Raymond,Brouillet,Raymond Brouillet,m,1933,Montréal,Montréal,Québec
Léo,Bureau-Blouin,Léo Bureau-Blouin,m,1991,Montréal,Montréal,Québec
Paul,Busque,Paul Busque,m,1960,Saint-Benoit-Labre,Chaudière-Appalaches,Québec
Robert,Bussière,Robert Bussière,m,1955,Otter Lake,Outaouais,Québec
Madwa-Nika,Cadet,Madwa-Nika Cadet,f,1990,Montréal,Montréal,Québec
Éric,Caire,Éric Caire,m,1965,Sorel,Montérégie,Québec
Martin,Camirand,Martin Camirand,m,1965,Saint-Jérôme,Laurentides,Québec
Richard,Campeau,Richard Campeau,m,1954,Montréal,Montréal,Québec
Serge,Cardin,Serge Cardin,m,1950,Sherbrooke,Estrie,Québec
Lionel,Carmant,Lionel Carmant,m,1965,,,Haïti
Jocelyne,Caron,Jocelyne Caron,f,1951,Verdun,Montréal,Québec
Linda,Caron,Linda Caron,f,1966,Montréal,Montréal,Québec
Vincent,Caron,Vincent Caron,m,1969,Béthune,,France
Denise,Carrier-Perreault,Denise Carrier-Perreault,f,1946,Lévis,Chaudière-Appalaches,Québec
Marc,Carrière,Marc Carrière,m,1964,Buckingham,Outaouais,Québec
Jacques,Chagnon,Jacques Chagnon,m,1952,Montréal,Montréal,Québec
Noëlla,Champagne,Noëlla Champagne,f,1944,Saint-Tite,Mauricie,Québec
Kateri,Champagne Jourdain,Kateri Champagne Jourdain,f,1981,Sept-Îles,Côte-Nord,Québec
Gilles,Chapadeau,Gilles Chapadeau,m,1960,Québec,Capitale-Nationale,Québec
Éric,Charbonneau,Éric Charbonneau,m,1969,Montréal,Montréal,Québec
Francine,Charbonneau,Francine Charbonneau,f,1962,Montréal,Montréal,Québec
Jean-Pierre,Charbonneau,Jean-Pierre Charbonneau,m,1950,Saint-Eustache,Laurentides,Québec
Isabelle,Charest,Isabelle Charest,f,1971,Rimouski,Bas-Saint-Laurent,Québec
Jean,Charest,Jean Charest,m,1958,Sherbrooke,Estrie,Québec
Nancy,Charest,Nancy Charest,f,1959,Matane,Bas-Saint-Laurent,Québec
Solange,Charest,Solange Charest,f,1950,Amqui,Bas-Saint-Laurent,Québec
Benoit,Charette,Benoit Charette,m,1976,Saint-Jérôme,Laurentides,Québec
Lucie,Charlebois,Lucie Charlebois,f,1959,Coteau-Station,Montérégie,Québec
MarieChantal,Chassé,MarieChantal Chassé,f,1966,Montréal,Montréal,Québec
Youri,Chassin,Youri Chassin,m,1977,Sainte-Agathe-des-Monts,Laurentides,Québec
André,Chenail,André Chenail,m,1946,Sainte-Clotilde,Montérégie,Québec
Germain,Chevarie,Germain Chevarie,m,1952,Les Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine,Québec
Guy,Chevrette,Guy Chevrette,m,1940,Saint-Côme,Lanaudière,Québec
Roch,Cholette,Roch Cholette,m,1963,Lachine,Montréal,Québec
Enrico,Ciccone,Enrico Ciccone,m,1970,Montréal,Montréal,Québec
Jean-Marie,Claveau,Jean-Marie Claveau,m,1950,Saint-Félix-d'Otis,Saguenay–Lac-Saint-Jean,Québec
Maurice,Clermont,Maurice Clermont,m,1944,Laval,Laval,Québec
David,Cliche,David Cliche,m,1952,Saint-Joseph-de-Beauce,Chaudière-Appalaches,Québec
Guillaume,Cliche-Rivard,Guillaume Cliche-Rivard,m,1989,Saint-Jean-sur-Richelieu,Montérégie,Québec
Alexandre,Cloutier,Alexandre Cloutier,m,1977,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Martin,Coiteux,Martin Coiteux,m,1962,Sorel,Montérégie,Québec
Russell,Copeman,Russell Copeman,m,1960,Montréal,Montréal,Québec
Pierre,Corbeil,Pierre Corbeil,m,1955,Saint-Hyacinthe,Montérégie,Québec
François,Corriveau,François Corriveau,m,1969,Baie-Comeau,Côte-Nord,Québec
Jacques,Côté,Jacques Côté,m,1944,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Michel,Côté,Michel Côté,m,1937,Petit-Saguenay,Saguenay–Lac-Saint-Jean,Québec
Philippe,Couillard,Philippe Couillard,m,1957,Montréal,Montréal,Québec
Michelle,Courchesne,Michelle Courchesne,f,1953,Trois-Rivières,Mauricie,Québec
Claude,Cousineau,Claude Cousineau,m,1950,Montréal,Montréal,Québec
Pierre,Curzi,Pierre Curzi,m,1946,Montréal,Montréal,Québec
William,Cusano,William Cusano,m,1943,,,Italie
Jean,D'Amour,Jean D'Amour,m,1963,Rivière-du-Loup,Bas-Saint-Laurent,Québec
Sylvie,D'Amours,Sylvie D'Amours,f,1960,Malartic,Abitibi-Témiscamingue,Québec
Jean,Damphousse,Jean Damphousse,m,1952,Saint-Paulin,Mauricie,Québec
Hélène,Daneault,Hélène Daneault,f,1961,Salaberry-de-Valleyfield,Montérégie,Québec
Suzanne,Dansereau,Suzanne Dansereau,f,1952,Montréal,Montréal,Québec
Jacques,Daoust,Jacques Daoust,m,1948,Verdun,Montréal,Québec
Françoise,David,Françoise David,f,1948,Montréal,Montréal,Québec
Hélène,David,Hélène David,f,1953,Montréal,Montréal,Québec
Diane,De Courcy,Diane De Courcy,f,,,,
Albert,De Martin,Albert De Martin,m,1951,Laval,Laval,Québec
Rita,de Santis,Rita de Santis,f,1954,,,Italie
Margaret,Delisle,Margaret Delisle,f,1946,Québec,Capitale-Nationale,Québec
Gérard,Deltell,Gérard Deltell,m,1964,Québec,Capitale-Nationale,Québec
Monsef,Derraji,Monsef Derraji,m,1976,Marrakech,,Maroc
Pascale,Déry,Pascale Déry,m,1976,Montréal,Montréal,Québec
Robert,Deschamps,Robert Deschamps,m,1940,Grand-Mère,Mauricie,Québec
Pierre,Descoteaux,Pierre Descoteaux,m,1952,Montréal,Montréal,Québec
Rémy,Désilets,Rémy Désilets,m,1952,Drummondville,Centre-du-Québec,Québec
Serge,Deslières,Serge Deslières,m,1947,Montréal,Montréal,Québec
Michel,Després,Michel Després,m,1957,Québec,Capitale-Nationale,Québec
François,Desrochers,François Desrochers,m,1970,Deux-Montagnes,Laurentides,Québec
Jean-Paul,Diamond,Jean-Paul Diamond,m,1940,Charette,Mauricie,Québec
Simon-Pierre,Diamond,Simon-Pierre Diamond,m,1985,Boucherville,Montérégie,Québec
Léandre,Dion,Léandre Dion,m,1937,Sainte-Apolline-de-Patton,Chaudière-Appalaches,Québec
Amélie,Dionne,Amélie Dionne,f,1975,Rivière-du-Loup,Bas-Saint-Laurent,Québec
Rita,Dionne-Marsolais,Rita Dionne-Marsolais,f,1947,Sherbrooke,Estrie,Québec
Jean,Domingue,Jean Domingue,m,1962,Montréal,Montréal,Québec
Catherine,Dorion,Catherine Dorion,f,1982,Québec,Capitale-Nationale,Québec
Éric,Dorion,Éric Dorion,m,1970,Drummondville,Centre-du-Québec,Québec
Shirley,Dorismond,Shirley Dorismond,f,1976,Longueuil,Montérégie,Québec
Danielle,Doyer,Danielle Doyer,f,1951,Mont-Joli,Bas-Saint-Laurent,Québec
Bernard,Drainville,Bernard Drainville,m,1963,La-Visitation-de-l'Île-Dupas,Lanaudière,Québec
André,Drolet,André Drolet,m,1954,Québec,Capitale-Nationale,Québec
Christian,Dubé,Christian Dubé,m,1958,Québec,Capitale-Nationale,Québec
Emmanuel,Dubourg,Emmanuel Dubourg,m,1958,,,Haïti
Jean,Dubuc,Jean Dubuc,m,1941,Saint-Isidore,Montérégie,Québec
Pierre,Duchesne,Pierre Duchesne,m,1964,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Jacques,Duchesneau,Jacques Duchesneau,m,1949,Montréal,Montréal,Québec
Marjolain,Dufour,Marjolain Dufour,m,1958,Baie-Comeau,Côte-Nord,Québec
Pierre,Dufour,Pierre Dufour,m,1965,Thetford Mines,Chaudière-Appalaches,Québec
Virginie,Dufour,Virginie Dufour,f,1977,Montréal,Montréal,Québec
Normand,Duguay,Normand Duguay,m,1941,Rivière-au-Tonnerre,Côte-Nord,Québec
Mario,Dumont,Mario Dumont,m,1970,Cacouna,Bas-Saint-Laurent,Québec
Jacques,Dupuis,Jacques Dupuis,m,1948,Montréal,Montréal,Québec
France-Élaine,Duranceau,France-Élaine Duranceau,f,1974,Montréal,Montréal,Québec
Robert,Dutil,Robert Dutil,m,1950,Saint-Georges,Chaudière-Appalaches,Québec
Jean-Bernard,Émond,Jean-Bernard Émond,m,1968,Sainte-Anne-de-Sorel,Montérégie,Québec
Joseph,Facal,Joseph Facal,m,1961,Montevideo,,Uruguay
Luc,Ferland,Luc Ferland,m,1955,Petit-Saguenay,Saguenay–Lac-Saint-Jean,Québec
Pierre,Fitzgibbon,Pierre Fitzgibbon,m,1957,Montréal,Montréal,Québec
Andrés,Fontecilla,Andrés Fontecilla,m,1967,,,Chili
André,Fortin,André Fortin,m,1981,Quyon,Outaouais,Québec
Luc,Fortin,Luc Fortin,m,1982,,,Québec
Émilie,Foster,Émilie Foster,f,1980,Baie-Comeau,Côte-Nord,Québec
Catherine,Fournier,Catherine Fournier,f,1992,Sainte-Julie,Montérégie,Québec
Jean-Marc,Fournier,Jean-Marc Fournier,m,1959,Châteauguay,Montérégie,Québec
Raymond,Francoeur,Raymond Francoeur,m,1946,Beauport,Capitale-Nationale,Québec
Christine,Fréchette,Christine Fréchette,f,1970,Trois-Rivières,Mauricie,Québec
André,Gabias,André Gabias,m,1956,Trois-Rivières,Mauricie,Québec
Gabriel-Yvan,Gagnon,Gabriel-Yvan Gagnon,m,1951,Forestville,Côte-Nord,Québec
Yannick,Gagnon,Yannick Gagnon,m,1979,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Monique,Gagnon-Tremblay,Monique Gagnon-Tremblay,f,1940,Plessisville,Centre-du-Québec,Québec
Brigitte,Garceau,Brigitte Garceau,f,1964,Montréal,Montréal,Québec
Francine,Gaudet,Francine Gaudet,f,1948,Bécancour,Centre-du-Québec,Québec
François,Gaudreau,François Gaudreau,m,1957,Montréal,Montréal,Québec
Maryse,Gaudreault,Maryse Gaudreault,f,1959,Neufchâtel,Capitale-Nationale,Québec
Sylvain,Gaudreault,Sylvain Gaudreault,m,1970,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Françoise,Gauthier,Françoise Gauthier,f,1953,Laterrière,Saguenay–Lac-Saint-Jean,Québec
Henri-François,Gautrin,Henri-François Gautrin,m,1943,Béthune,,France
Réal,Gauvin,Réal Gauvin,m,1935,Saint-Adalbert,Chaudière-Appalaches,Québec
René,Gauvreau,René Gauvreau,m,1954,Montréal,Montréal,Québec
François,Gendron,François Gendron,m,1944,Val-Paradis,Nord-du-Québec,Québec
Marie-Belle,Gendron,Marie-Belle Gendron,f,1981,Châteauguay,Montérégie,Québec
