prénom,nom,nom_complet,genre,année_naissance,municipalité,région,lieu
Pierre-Étienne,Laporte,Pierre-Étienne Laporte,m,1934,Joliette,Lanaudière,Québec
Benoît,Laprise,Benoît Laprise,m,1932,Saint-Félicien,Saguenay–Lac-Saint-Jean,Québec
Élizabeth,Larouche,Élizabeth Larouche,f,1953,Val-d'Or,Abitibi-Témiscamingue,Québec
Lise,Lavallée,Lise Lavallée,f,1957,Saint-Cuthbert,Lanaudière,Québec
Stéphane,Le Bouyonnec,Stéphane Le Bouyonnec,m,1962,Falaise,,France
Harold,LeBel,Harold LeBel,m,1962,Squatec,Bas-Saint-Laurent,Québec
Sonia,LeBel,Sonia LeBel,f,1968,Matane,Bas-Saint-Laurent,Québec
Diane,Leblanc,Diane Leblanc,f,1954,Saint-Jean-sur-Richelieu,Montérégie,Québec
Lucie,Leblanc,Lucie Leblanc,f,1962,Montréal,Montréal,Québec
Guy,Leclair,Guy Leclair,m,1968,Salaberry-de-Valleyfield,Montérégie,Québec
Isabelle,Lecours,Isabelle Lecours,f,1971,Québec,Capitale-Nationale,Québec
Lucie,Lecours,Lucie Lecours,f,1964,Repentigny,Lanaudière,Québec
Alexandre,Leduc,Alexandre Leduc,m,1984,Longueuil,Montérégie,Québec
Lyse,Leduc,Lyse Leduc,f,1938,Montréal,Montréal,Québec
Elsie,Lefebvre,Elsie Lefebvre,f,1979,Montréal,Montréal,Québec
Eric,Lefebvre,Eric Lefebvre,m,1971,Victoriaville,Centre-du-Québec,Québec
Sylvain,Légaré,Sylvain Légaré,m,1970,Québec,Capitale-Nationale,Québec
Diane,Legault,Diane Legault,f,1956,Montréal,Montréal,Québec
François,Legault,François Legault,m,1957,Sainte-Anne-de-Bellevue,Montréal,Québec
Richard,Legendre,Richard Legendre,m,1953,Montmagny,Chaudière-Appalaches,Québec
Nicole,Léger,Nicole Léger,f,1955,Montréal,Montréal,Québec
Gilles,Lehouillier,Gilles Lehouillier,m,1953,Lévis,Chaudière-Appalaches,Québec
Carlos,Leitão,Carlos Leitão,m,1956,,,Portugal
Gaétan,Lelièvre,Gaétan Lelièvre,m,1962,Sainte-Thérèse-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Québec
Guy,Lelièvre,Guy Lelièvre,m,1952,Sainte-Thérèse-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Québec
Martin,Lemay,Martin Lemay,m,1964,Amos,Abitibi-Témiscamingue,Québec
Mathieu,Lemay,Mathieu Lemay,m,1979,Montréal,Montréal,Québec
Diane,Lemieux,Diane Lemieux,f,1961,Sherbrooke,Estrie,Québec
Louis,Lemieux,Louis Lemieux,m,1957,Québec,Capitale-Nationale,Québec
Jacques,Léonard,Jacques Léonard,m,1936,Saint-Jovite,Laurentides,Québec
Sylvie,Lespérance,Sylvie Lespérance,f,1954,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Laurent,Lessard,Laurent Lessard,m,1962,Thetford Mines,Chaudière-Appalaches,Québec
Émilise,Lessard-Therrien,Émilise Lessard-Therrien,f,1991,Duhamel-Ouest,Abitibi-Témiscamingue,Québec
Michel,Létourneau,Michel Létourneau,m,1949,Montréal,Montréal,Québec
Christian,Lévesque,Christian Lévesque,m,1970,Lévis,Chaudière-Appalaches,Québec
Mathieu,Lévesque,Mathieu Lévesque,m,1988,Gatineau,Outaouais,Québec
Sylvain,Lévesque,Sylvain Lévesque,m,1973,Lac-Mégantic,Estrie,Québec
Jean-François,Lisée,Jean-François Lisée,m,1958,Thetford Mines,Chaudière-Appalaches,Québec
Nicole,Loiselle,Nicole Loiselle,f,1954,Montréal,Montréal,Québec
Jennifer,Maccarone,Jennifer Maccarone,f,,,,
Cosmo,Maciocia,Cosmo Maciocia,m,1942,Cantalupo,,Italie
Norman,MacMillan,Norman MacMillan,m,1947,Buckingham,Outaouais,Québec
Marie,Malavoy,Marie Malavoy,f,1948,Berlin,,Allemagne de l'Ouest
Carole,Mallette,Carole Mallette,f,1981,LaSalle,Montréal,Québec
Agnès,Maltais,Agnès Maltais,f,1956,Sault-au-Mouton,Côte-Nord,Québec
Georges,Mamelonet,Georges Mamelonet,m,1954,Casablanca,,Maroc
Anna,Mancuso,Anna Mancuso,f,1971,Montréal,Montréal,Québec
Nicolas,Marceau,Nicolas Marceau,m,1964,Montréal,Montréal,Québec
Jacques,Marcotte,Jacques Marcotte,m,1945,Sainte-Catherine-de-la-Jacques-Cartier,Capitale-Nationale,Québec
Yvon,Marcoux,Yvon Marcoux,m,1941,Saint-Lambert-de-Lauzon,Chaudière-Appalaches,Québec
Vincent,Marissal,Vincent Marissal,m,1968,Granby,Estrie,Québec
Pauline,Marois,Pauline Marois,f,1949,Québec,Capitale-Nationale,Québec
Pierre,Marsan,Pierre Marsan,m,1948,Montréal,Montréal,Québec
Donald,Martel,Donald Martel,m,1964,Grand-Mère,Mauricie,Québec
Manon,Massé,Manon Massé,f,1963,Windsor,Estrie,Québec
Michel,Matte,Michel Matte,m,1949,Saint-Alban,Capitale-Nationale,Québec
Danielle,McCann,Danielle McCann,f,1952,,,Québec
Désirée,McGraw,Désirée McGraw,f,1970,Montréal,Montréal,Québec
Scott,McKay,Scott McKay,m,1960,Montréal-Est,Montréal,Québec
Isabelle,Melançon,Isabelle Melançon,f,1974,Montréal,Montréal,Québec
Nicole,Ménard,Nicole Ménard,f,1948,Saint-Constant,Montérégie,Québec
Serge,Ménard,Serge Ménard,m,1941,Montréal,Montréal,Québec
Éric,Mercier,Éric Mercier,m,1967,Québec,Capitale-Nationale,Québec
Richard,Merlini,Richard Merlini,m,1965,Montréal,Montréal,Québec
Lucille,Méthé,Lucille Méthé,f,1957,Henryville,Montérégie,Québec
Robert,Middlemiss,Robert Middlemiss,m,1935,Aylmer,Outaouais,Québec
Yves,Montigny,Yves Montigny,m,1971,Baie-Comeau,Côte-Nord,Québec
