id,prénom,nom,nom_complet,genre,annee_naissance,municipalité,région,lieu,lat,long
48243,Marie,Bouillé,Marie Bouillé,f,1958,Montréal,Montréal,Québec,45.5031824,-73.5698065
63458,André,Boulerice,André Boulerice,m,1946,Joliette,Lanaudière,Québec,46.0239798,-73.4419936
72524,Jean,Boulet,Jean Boulet,m,,Saint-Tite,Mauricie,Québec,46.7285322,-72.5646675
27350,Julie,Boulet,Julie Boulet,f,1959,Saint-Tite,Mauricie,Québec,46.7285322,-72.5646675
56013,Marc,Boulianne,Marc Boulianne,m,1941,Tadoussac,Côte-Nord,Québec,48.1433429,-69.7174574
11696,Kariane,Bourassa,Kariane Bourassa,f,1991,Drummondville,Centre-du-Québec,Québec,45.8864303,-72.5018764
72314,André,Bourbeau,André Bourbeau,m,1936,Verdun,Montréal,Québec,45.459078,-73.5731774
72111,Marc,Bourcier,Marc Bourcier,m,1957,Saint-Jérôme,Laurentides,Québec,45.775426,-74.013176
51296,Alexandre,Bourdeau,Alexandre Bourdeau,m,1978,Le Gardeur,Lanaudière,Québec,45.7510604,-73.4702203
57154,Guy,Bourgeois,Guy Bourgeois,m,1958,Amos,Abitibi-Témiscamingue,Québec,48.5718519,-78.1160856
75943,Joëlle,Boutin,Joëlle Boutin,f,1979,Dolbeau,Saguenay–Lac-Saint-Jean,Québec,48.8770098,-72.2302039
69194,Jacques,Brassard,Jacques Brassard,m,1940,Alma,Saguenay–Lac-Saint-Jean,Québec,48.548887,-71.651459
87985,Daniel,Breton,Daniel Breton,m,1962,Montréal,Montréal,Québec,45.5031824,-73.5698065
41222,Bernard,Brodeur,Bernard Brodeur,m,1956,Granby,Estrie,Québec,45.3990409,-72.721834
13132,Raymond,Brouillet,Raymond Brouillet,m,1933,Montréal,Montréal,Québec,45.5031824,-73.5698065
36431,Léo,Bureau-Blouin,Léo Bureau-Blouin,m,1991,Montréal,Montréal,Québec,45.5031824,-73.5698065
53132,Paul,Busque,Paul Busque,m,1960,Saint-Benoit-Labre,Chaudière-Appalaches,Québec,46.070134,-70.791435
32051,Robert,Bussière,Robert Bussière,m,1955,Otter Lake,Outaouais,Québec,45.8490678,-76.4300477
20291,Madwa-Nika,Cadet,Madwa-Nika Cadet,f,1990,Montréal,Montréal,Québec,45.5031824,-73.5698065
91294,Éric,Caire,Éric Caire,m,1965,Sorel,Montérégie,Québec,46.044404,-73.104744
44751,Martin,Camirand,Martin Camirand,m,1965,Saint-Jérôme,Laurentides,Québec,45.775426,-74.013176
25322,Richard,Campeau,Richard Campeau,m,1954,Montréal,Montréal,Québec,45.5031824,-73.5698065
18419,Serge,Cardin,Serge Cardin,m,1950,Sherbrooke,Estrie,Québec,45.403271,-71.889038
74200,Lionel,Carmant,Lionel Carmant,m,1965,,,Haïti,,
35410,Jocelyne,Caron,Jocelyne Caron,f,1951,Verdun,Montréal,Québec,45.459078,-73.5731774
30777,Linda,Caron,Linda Caron,f,1966,Montréal,Montréal,Québec,45.5031824,-73.5698065
78850,Vincent,Caron,Vincent Caron,m,1969,Béthune,,France,,
51286,Denise,Carrier-Perreault,Denise Carrier-Perreault,f,1946,Lévis,Chaudière-Appalaches,Québec,46.8033114,-71.1778792
20664,Marc,Carrière,Marc Carrière,m,1964,Buckingham,Outaouais,Québec,45.5864671,-75.4168252
63116,Jacques,Chagnon,Jacques Chagnon,m,1952,Montréal,Montréal,Québec,45.5031824,-73.5698065
80733,Noëlla,Champagne,Noëlla Champagne,f,1944,Saint-Tite,Mauricie,Québec,46.7285322,-72.5646675
23480,Kateri,Champagne Jourdain,Kateri Champagne Jourdain,f,1981,Sept-Îles,Côte-Nord,Québec,50.2109579,-66.3790642
40219,Gilles,Chapadeau,Gilles Chapadeau,m,1960,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
69802,Éric,Charbonneau,Éric Charbonneau,m,1969,Montréal,Montréal,Québec,45.5031824,-73.5698065
50550,Francine,Charbonneau,Francine Charbonneau,f,1962,Montréal,Montréal,Québec,45.5031824,-73.5698065
41164,Jean-Pierre,Charbonneau,Jean-Pierre Charbonneau,m,1950,Saint-Eustache,Laurentides,Québec,45.5646052,-73.8929714
