id,prénom,nom,nom_complet,genre,année_naissance,municipalité,lieu,code
98543,Monique,Jérôme-Forget,Monique Jérôme-Forget,,,,,
67810,Simon,Jolin-Barrette,Simon Jolin-Barrette,,,,,
24245,Jean-Pierre,Jolivet,Jean-Pierre Jolivet,,,,,
42203,Guy,Julien,Guy Julien,,,,,
85989,Jonatan,Julien,Jonatan Julien,,,,,
17689,Normand,Jutras,Normand Jutras,,,,,
18709,Pierre,Karl Péladeau,Pierre Karl Péladeau,,,,,
77018,Geoffrey,Kelley,Geoffrey Kelley,,,,,
37453,Gregory,Kelley,Gregory Kelley,,,,,
15033,Amir,Khadir,Amir Khadir,,,,,
79643,Robert,Kieffer,Robert Kieffer,,,,,
93082,Maka,Kotto,Maka Kotto,,,,,
95409,Charlotte,L'Écuyer,Charlotte L'Écuyer,,,,,
42187,Claude,L'Écuyer,Claude L'Écuyer,,,,,
41607,Gilles,Labbé,Gilles Labbé,,,,,
94076,Christine,Labrie,Christine Labrie,,,,,
70534,Claude,Lachance,Claude Lachance,,,,,
40365,Stéphanie,Lachance,Stéphanie Lachance,,,,,
22961,Mathieu,Lacombe,Mathieu Lacombe,,,,,
59678,Andrée,Laforest,Andrée Laforest,,,,,
27873,Mario,Laframboise,Mario Laframboise,,,,,
13010,Ian,Lafrenière,Ian Lafrenière,,,,,
32806,Réjean,Lafrenière,Réjean Lafrenière,,,,,
15478,Sona,Lakhoyan Olivier,Sona Lakhoyan Olivier,,,,,
98140,Diane,Lamarre,Diane Lamarre,,,,,
46092,André,Lamontagne,André Lamontagne,,,,,
10785,Denis,Lamothe,Denis Lamothe,,,,,
40995,Jean-Sébastien,Lamoureux,Jean-Sébastien Lamoureux,,,,,
76516,Michèle,Lamquin-Éthier,Michèle Lamquin-Éthier,,,,,
37543,Bernard,Landry,Bernard Landry,,,,,
88806,Linda,Lapointe,Linda Lapointe,,,,,
15538,Lisette,Lapointe,Lisette Lapointe,,,,,
24390,Éric,Laporte,Éric Laporte,,,,,
74445,Pierre-Étienne,Laporte,Pierre-Étienne Laporte,,,,,
87180,Benoît,Laprise,Benoît Laprise,,,,,
22853,Élizabeth,Larouche,Élizabeth Larouche,,,,,
38561,Lise,Lavallée,Lise Lavallée,,,,,
34727,Stéphane,Le Bouyonnec,Stéphane Le Bouyonnec,,,,,
24022,Harold,LeBel,Harold LeBel,,,,,
27676,Sonia,LeBel,Sonia LeBel,,,,,
55330,Diane,Leblanc,Diane Leblanc,,,,,
12061,Lucie,Leblanc,Lucie Leblanc,,,,,
73742,Guy,Leclair,Guy Leclair,,,,,
64968,Isabelle,Lecours,Isabelle Lecours,,,,,
85661,Lucie,Lecours,Lucie Lecours,,,,,
35550,Alexandre,Leduc,Alexandre Leduc,,,,,
13981,Lyse,Leduc,Lyse Leduc,,,,,
20923,Elsie,Lefebvre,Elsie Lefebvre,,,,,
25012,Eric,Lefebvre,Eric Lefebvre,,,,,
68685,Sylvain,Légaré,Sylvain Légaré,,,,,
76511,Diane,Legault,Diane Legault,,,,,
36662,François,Legault,François Legault,,,,,
96510,Richard,Legendre,Richard Legendre,,,,,
69953,Nicole,Léger,Nicole Léger,,,,,
85404,Gilles,Lehouillier,Gilles Lehouillier,,,,,
27897,Carlos,Leitão,Carlos Leitão,,,,,
95816,Gaétan,Lelièvre,Gaétan Lelièvre,,,,,
19642,Guy,Lelièvre,Guy Lelièvre,,,,,
53590,Martin,Lemay,Martin Lemay,,,,,
57487,Mathieu,Lemay,Mathieu Lemay,,,,,
22095,Diane,Lemieux,Diane Lemieux,,,,,
89170,Louis,Lemieux,Louis Lemieux,,,,,
54782,Jacques,Léonard,Jacques Léonard,,,,,
74427,Sylvie,Lespérance,Sylvie Lespérance,,,,,
43053,Laurent,Lessard,Laurent Lessard,,,,,
55473,Émilise,Lessard-Therrien,Émilise Lessard-Therrien,,,,,
59212,Michel,Létourneau,Michel Létourneau,,,,,
90471,Christian,Lévesque,Christian Lévesque,,,,,
92562,Mathieu,Lévesque,Mathieu Lévesque,,,,,
99121,Sylvain,Lévesque,Sylvain Lévesque,,,,,
97834,Jean-François,Lisée,Jean-François Lisée,,,,,
40132,Nicole,Loiselle,Nicole Loiselle,,,,,
31151,Jennifer,Maccarone,Jennifer Maccarone,,,,,
80903,Cosmo,Maciocia,Cosmo Maciocia,,,,,
11237,Norman,MacMillan,Norman MacMillan,,,,,
54584,Marie,Malavoy,Marie Malavoy,,,,,
63659,Carole,Mallette,Carole Mallette,,,,,
93238,Agnès,Maltais,Agnès Maltais,,,,,
39026,Georges,Mamelonet,Georges Mamelonet,,,,,
83451,Anna,Mancuso,Anna Mancuso,,,,,
91526,Nicolas,Marceau,Nicolas Marceau,,,,,
20436,Jacques,Marcotte,Jacques Marcotte,,,,,
52046,Yvon,Marcoux,Yvon Marcoux,,,,,
86045,Vincent,Marissal,Vincent Marissal,,,,,
95075,Pauline,Marois,Pauline Marois,,,,,
36539,Pierre,Marsan,Pierre Marsan,,,,,
40328,Donald,Martel,Donald Martel,,,,,
68409,Manon,Massé,Manon Massé,,,,,
46350,Michel,Matte,Michel Matte,,,,,
28898,Danielle,McCann,Danielle McCann,,,,,
13966,Désirée,McGraw,Désirée McGraw,,,,,
76485,Scott,McKay,Scott McKay,,,,,
57403,Isabelle,Melançon,Isabelle Melançon,,,,,
34326,Nicole,Ménard,Nicole Ménard,,,,,
47471,Serge,Ménard,Serge Ménard,,,,,
13459,Éric,Mercier,Éric Mercier,,,,,
11874,Richard,Merlini,Richard Merlini,,,,,
65166,Lucille,Méthé,Lucille Méthé,,,,,
21188,Robert,Middlemiss,Robert Middlemiss,,,,,
