discourse,speaker,phone,phone_duration,phone_begin,phone_end,phone_position,previous_phone,following_phone,following_following_phone,syllable,syllable_begin,syllable_end,word,transcription,word_begin,word_end
27263_f4_int5_20221201_CH_194021,27263,ø,0.10000000000000142,32.99,33.09,2,s,c,i,s.ø,32.85,33.09,ceux,s.ø,32.85,33.09
ANQ027-5,33483,ø,0.08979591836732936,64.73537414965988,64.8251700680272,2,d,f,a,d.ø,64.63560090702947,64.8251700680272,deux,d.ø,64.63560090702947,64.8251700680272
20189_f11_int20_2022_03_24_assnat_151628,20189,ø,0.08000000000000007,13.63,13.71,2,d,m,i,d.ø,13.58,13.71,deux,d.ø,13.58,13.71
ANQ031-16,46224,ø,0.12970521541949864,26.073242630385487,26.202947845804985,4,m,z,o,m.ø.z,25.9734693877551,26.292743764172332,fameuse,f.a.m.ø.z,25.823809523809523,26.292743764172332
98330_f8_int8_2021_03_31_CH_0-1433,98330,ø,0.08999999999999986,16.8,16.89,2,d,<SIL>,a,d.ø,16.67,16.89,deux,d.ø,16.67,16.89
20291_f1_int2_20230328_CH_161055,20291,ø,0.20000000000000284,64.78,64.98,5,j,l,ə,s.j.ø,64.52,64.98,monsieur,m.ə.s.j.ø,64.34,64.98
22095_f7_int14_2006_04_05_assnat,22095,ø,0.10000000000000142,8.87,8.97,2,p,d,e,p.ø,8.8,8.97,peut,p.ø,8.8,8.97
ANQ050-2,44661,ø,0.28934240362811803,6.04875283446712,6.338095238095238,1,sp,m,sp,ø.m,6.04875283446712,6.627437641723356,um,ø.m,6.04875283446712,6.627437641723356
68749_f4_int4_2019_04_18_CAT_0-19_30,68749,ø,0.06999999999999318,46.09,46.16,2,d,m,i,d.ø,46.02,46.16,deux,d.ø,46.02,46.16
23806_f2_int3_20221206_CH_205000,23806,ø,0.10999999999999945,12.64,12.75,4,ʎ,<SIL>,v,ʎ.ø,12.5,12.75,milieu,m.i.ʎ.ø,12.35,12.75
93404_f4_int5_2010_05_11_comm,93404,ø,0.05999999999999872,10.56,10.62,2,p,ɜ,t,p.ø,10.47,10.62,peut,p.ø,10.47,10.62
28898_f7_int7_2019_05_02_CH_0-19_30,28898,ø,0.28000000000000114,92.08,92.36,2,p,<SIL>,ɔ,p.ø,91.92,92.36,peux,p.ø,91.92,92.36
