speaker,duration
003,76.94140589569162
004,319.32199546485265
005,149.34249433106578
006,59.59002267573696
007,271.54448979591837
008,162.91301587301587
009,802.8925170068028
010,1.7147392290249432
012,494.10231292517005
013,655.1759637188208
015,2033.972970521542
016,478.7537414965987
017,1274.2929705215422
018,191.91074829931972
019,53.015419501133785
021,265.9856689342404
023,4511.406712018143
025,64.30403628117914
026,302.527619047619
027,467.1986394557823
028,51.044444444444444
031,2054.898321995465
033,83.07755102040817
034,24.35519274376417
037,58.88344671201814
040,495.80734693877554
041,122.61142857142856
042,119.8267573696145
047,235.72235827664397
048,292.9629931972789
049,127.00371882086168
050,120.15265306122448
052,197.61269841269842
054,938.9735147392287
055,685.6672108843537
059,59.1146485260771
060,57.24934240362812
062,726.9371428571428
066,1203.984580498866
067,1015.8844444444445
068,730.0960544217687
069,333.8468934240363
071,61.089614512471655
074,137.6497052154195
077,549.0816326530612
078,133.46566893424034
079,60.06902494331066
082,53.12108843537415
083,160.91219954648525
084,238.13469387755103
085,92.8344671201814
086,104.00834467120181
089,131.68426303854875
091,529.619410430839
092,2499.4930612244893
095,196.94521541950112
096,1516.628843537415
098,55.73052154195011
100,32.04399092970522
101,124.26222222222223
102,147.6266666666667
104,258.0897959183674
105,303.4985941043084
