speaker,duration
10622,476.81290249433107
11696,422.60587301587304
13472,673.4321995464853
13539,547.5184807256236
14401,615.7934920634921
18111,1328.9200453514738
18122,877.7632426303853
20189,1401.0799546485262
20291,1299.5516326530612
20409,1084.8018367346938
20488,387.7841950113379
20923,1063.5644897959185
20978,487.5039229024944
22095,225.16900226757372
23400,591.5962131519275
23806,409.8004081632653
25012,942.0145124716554
27263,1481.1834467120184
28838,636.7088888888889
28898,761.3360544217687
28915,550.9314058956916
29097,469.5168480725623
30777,1415.6022902494328
30893,1088.8478684807258
32441,395.2368934240362
35429,2278.9769841269836
35448,522.2149206349206
36431,1196.1606349206352
36683,365.9444671201814
37282,559.1477324263038
38470,374.69972789115644
38679,125.40201814058958
38811,1214.545963718821
41246,1135.2590022675738
41440,485.15106575963716
41792,553.3682086167801
42171,794.0919501133786
44263,644.7222448979592
45127,510.07870748299325
46675,229.96868480725627
47863,956.8956235827666
48329,627.2734013605442
49178,2634.217324263038
51254,582.2353968253968
51296,36.70095238095238
51369,907.9980498866213
51408,530.1928798185942
51427,1108.9631972789118
52013,590.5160997732427
52046,1161.057074829932
52260,612.7543990929705
53703,432.96829931972786
55473,481.2599319727891
56492,273.8639455782313
57055,747.6579365079365
57239,2440.717029478458
57403,576.5351020408164
57487,899.6556916099772
58291,1242.9316326530611
59145,786.7874149659864
59678,734.372335600907
59967,539.0149659863946
61332,933.690544217687
62545,380.6189569160998
62741,913.1373922902493
63101,1430.8666439909296
63659,479.9125623582766
64968,808.141247165533
65232,697.8766213151927
66087,947.8298412698414
66902,358.8361451247166
67823,548.9884807256236
68409,593.5002267573697
68749,452.26795918367344
72524,1077.5752607709753
76485,779.6171201814058
76572,375.1770068027211
76718,397.00990929705216
77464,528.1901587301587
78385,645.2566213151928
79155,473.57165532879816
81043,573.0032879818593
81179,469.0933333333333
81431,818.2902494331067
81785,379.20102040816323
82538,594.6689115646259
85186,432.35997732426307
85377,1333.7757596371885
86777,481.3121768707483
87557,537.2330385487528
89010,1031.113015873016
89170,512.5756009070295
90245,1246.0641496598641
90958,949.6675510204082
92098,929.7469841269842
92340,680.0031519274377
92457,765.1109750566893
92562,598.0437414965986
93238,68.68857142857144
93404,1086.899024943311
93789,1000.7430839002268
94074,702.1070748299319
94076,1336.8485714285714
95941,503.0802494331066
96194,173.47768707482993
98330,1643.2432426303853
98601,912.571768707483
99121,606.1145351473922
